company_name,ratings,reviews,company_type,Employee,Headquarters
MRF Tyres,3.8,2.5k,Auto Components,10k-50k Employees,Chennai +165 more
RBL Bank,3.8,2.5k,Banking,10k-50k Employees,Mumbai +227 more
Reliance Nippon Life Insurance,3.9,2.5k,Insurance,10k-50k Employees,Mumbai +437 more
Paras Hospital,4.6,2.5k,Healthcare,1k-5k Employees,Gurgaon/Gurugram +49 more
Reliance Digital,4.2,2.5k,Retail,5k-10k Employees,Mumbai +312 more
PNB MetLife,3.5,2.5k,Insurance,5k-10k Employees,Mumbai +328 more
Jubilant Foods Works,3.9,2.5k,Hospitality,10k-50k Employees,Noida +200 more
Escorts Kubota Limited,4.1,2.5k,Automobile,1k-5k Employees,Faridabad +136 more
GeBBS Healthcare Solutions,3.7,2.5k,BPO,5k-10k Employees,Culver City +19 more
Wipro Consumer Care & Lighting,3.9,2.4k,FMCG,1k-5k Employees,Bangalore/Bengaluru +97 more
Ceat Tyres,4.1,2.5k,Auto Components,5k-10k Employees,Mumbai +116 more
Kotak Mahindara Life Insurance,3.9,2.5k,Insurance,10k-50k Employees,Mumbai +212 more
Dabur,3.8,2.4k,FMCG,5k-10k Employees,Ghaziabad +255 more
Axis Direct,3.9,2.4k,Financial Services,1k-5k Employees,San Mateo +273 more
JK Cement,4.2,2.4k,Building Material,1k-5k Employees,Nimbahera +246 more
Conduent,3.6,2.4k,BPO,5k-10k Employees,Florham Park +22 more
InterGlobe Aviation,3.6,2.4k,Aviation,10k-50k Employees,Gurgaon/Gurugram +90 more
Synechron,3.7,2.4k,IT Services & Consulting,10k-50k Employees,New York +26 more
Shoppers Stop,4.1,2.4k,Retail,5k-10k Employees,Mumbai +66 more
Birlasoft,3.8,2.4k,IT Services & Consulting,10k-50k Employees,Pune +35 more
ACC,4.0,2.4k,Building Material,5k-10k Employees,Mumbai +220 more
Lenskart,3.3,2.4k,Internet,5k-10k Employees,Faridabad +171 more
HARMAN,3.9,2.4k,Consumer Electronics & Appliances,5k-10k Employees,Stamford +29 more
ArcelorMittal Nippon Steel,4.1,2.4k,Iron & Steel,5k-10k Employees,Surat +68 more
Reliance SMSL,4.0,2.3k,BPO,1k-5k Employees,Mumbai +489 more
GATI-KWE,4.0,2.3k,Logistics,1k-5k Employees,Hyderabad/Secunderabad +159 more
Indiabulls Home Loans,3.9,2.3k,NBFC,5k-10k Employees,Gurgaon/Gurugram +192 more
